"DistinguishedName","DNSHostName","Enabled","Name","ObjectClass","ObjectGUID","SamAccountName","SID","UserPrincipalName"
"CN=vm-MACHINE-T,OU=Domain Controllers,DC=techlab,DC=br","vm-MACHINE-T.techlab.br","True","vm-MACHINE-T","computer","4b464f18-25c6-4088-a674-60a6ffacaffc","vm-MACHINE-T$","S-1-5-21-925037465-2226837016-4004537459-16802",
"CN=MACHINE-TVGAPP,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgapp.techlab.br","True","MACHINE-TVGAPP","computer","ea10c8ba-b8f4-4abe-a2ce-facb2758b665","MACHINE-TVGAPP$","S-1-5-21-925037465-2226837016-4004537459-12113",
"CN=MACHINE-TVGCRM,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgcrm.techlab.br","True","MACHINE-TVGCRM","computer","fa588690-e7d6-4bcb-a827-2aca3ac4836f","MACHINE-TVGCRM$","S-1-5-21-925037465-2226837016-4004537459-13817",
"CN=MACHINE-TVGSTORAGE,OU=Computadores_Pendentes,OU=techlab_Brasil,DC=techlab,DC=br","MACHINE-TVGSTORAGE.techlab.br","False","MACHINE-TVGSTORAGE","computer","79e80c87-9f0b-4165-b14a-765ca657a3e0","MACHINE-TVGSTORAGE$","S-1-5-21-925037465-2226837016-4004537459-13947",
"CN=COD17,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD17.techlab.br","True","COD17","computer","00db7684-ef23-4f8e-8e5c-70f71f7a68bc","COD17$","S-1-5-21-925037465-2226837016-4004537459-13637","COD17$@techlab.com.br"
"CN=MACHINE-TVGAPP2,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgapp2.techlab.br","True","MACHINE-TVGAPP2","computer","7f70372b-4d34-4862-abde-dc8e7b7c4c70","MACHINE-TVGAPP2$","S-1-5-21-925037465-2226837016-4004537459-12199",
"CN=COD10,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD10.techlab.br","True","COD10","computer","9a35d12b-a30c-4a46-82b5-f33b362d5207","COD10$","S-1-5-21-925037465-2226837016-4004537459-12204","COD10$@techlab.com.br"
"CN=MACHINE-TVGVM2,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgvm2.techlab.br","True","MACHINE-TVGVM2","computer","e0a220a3-6b69-4b2d-b6e4-6bbd012eeac8","MACHINE-TVGVM2$","S-1-5-21-925037465-2226837016-4004537459-13972",
"CN=MACHINE-TVGDEV,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgdev.techlab.br","True","MACHINE-TVGDEV","computer","2f7dbf37-6f77-462f-af0d-e2c06ab03875","MACHINE-TVGDEV$","S-1-5-21-925037465-2226837016-4004537459-13799",
"CN=MACHINE-TVGVM,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgvm.techlab.br","True","MACHINE-TVGVM","computer","f1d6d71f-1259-4d3b-b6d1-04ce8341aea2","MACHINE-TVGVM$","S-1-5-21-925037465-2226837016-4004537459-13839",
"CN=MACHINE-TVGVM1,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgvm1.techlab.br","True","MACHINE-TVGVM1","computer","421823b4-e6d7-4420-a481-be805add4f75","MACHINE-TVGVM1$","S-1-5-21-925037465-2226837016-4004537459-13996",
"CN=COD50,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD50.techlab.br","True","COD50","computer","e91934e3-2aa1-46d7-8a65-76d5a2428b6f","COD50$","S-1-5-21-925037465-2226837016-4004537459-16811",
"CN=COD46,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD46.techlab.br","True","COD46","computer","6ba67a01-9cc3-4a5d-be90-a306c107b4f2","COD46$","S-1-5-21-925037465-2226837016-4004537459-16796","COD46$@techlab.com.br"
"CN=COD13,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD13.techlab.br","True","COD13","computer","71b197ed-1704-4df6-a46d-d581ce2905d4","COD13$","S-1-5-21-925037465-2226837016-4004537459-12266","COD13$@techlab.com.br"
"CN=MCHINE10,OU=VM,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","MCHINE10.techlab.br","True","MCHINE10","computer","a755b249-a12b-40f1-8037-19f0acc20af2","MCHINE10$","S-1-5-21-925037465-2226837016-4004537459-16617","MCHINE10$@techlab.com.br"
"CN=COD52,OU=Computadores,OU=Verde_Ghaia,OU=SP,OU=techlab_Brasil,DC=techlab,DC=br","COD52.techlab.br","True","COD52","computer","42f48e11-acc5-4272-bf67-3e29cdf108bb","COD52$","S-1-5-21-925037465-2226837016-4004537459-16816","COD52$@techlab.com.br"
"CN=COD04,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD04.techlab.br","True","COD04","computer","8031265e-dfcf-4ebe-a46f-7dcf12adcbe3","COD04$","S-1-5-21-925037465-2226837016-4004537459-12148","COD04$@techlab.com.br"
"CN=COD01,OU=Computadores,OU=DHO,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD01.techlab.br","True","COD01","computer","1f60efa0-e009-4565-8b12-34151151a6e2","COD01$","S-1-5-21-925037465-2226837016-4004537459-12133","COD01$@techlab.com.br"
"CN=COD44,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD44.techlab.br","True","COD44","computer","e388e134-289b-4e00-8f61-e2126dc672ea","COD44$","S-1-5-21-925037465-2226837016-4004537459-16783","COD44$@techlab.com.br"
"CN=COD89,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD89.techlab.br","True","COD89","computer","9fafbb4d-f8be-4069-9638-cc43c1d658f2","COD89$","S-1-5-21-925037465-2226837016-4004537459-13674","COD-82$@techlab.com.br"
"CN=COD02,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD02.techlab.br","True","COD02","computer","efa06e74-93ae-4b49-bc58-3589e3b2bf5a","COD02$","S-1-5-21-925037465-2226837016-4004537459-13919","COD02$@techlab.com.br"
"CN=COD33,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD33.techlab.br","True","COD33","computer","e1c4eba0-b2c6-4437-9574-da61e1cab3c2","COD33$","S-1-5-21-925037465-2226837016-4004537459-16635","COD33$@techlab.com.br"
"CN=COD55,OU=Computadores,OU=Comercial,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD55.techlab.br","True","COD55","computer","28ef11a2-d195-404d-beb5-f9f16c7aec09","COD55$","S-1-5-21-925037465-2226837016-4004537459-17639","COD55$@techlab.com.br"
"CN=vm-MACHINE-T2,OU=Domain Controllers,DC=techlab,DC=br","vm-MACHINE-T2.techlab.br","True","vm-MACHINE-T2","computer","c6e25292-c7a6-4b57-ac08-99140f92a26d","vm-MACHINE-T2$","S-1-5-21-925037465-2226837016-4004537459-17681",
"CN=COD42,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD42.techlab.br","True","COD42","computer","376b571f-55c4-4628-98ec-f9bcb483582d","COD42$","S-1-5-21-925037465-2226837016-4004537459-19118",
"CN=MCHINE17,OU=VM,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","MCHINE17","True","MCHINE17","computer","703035a6-28cf-4cb1-8066-2090b09cb39c","MCHINE17$","S-1-5-21-925037465-2226837016-4004537459-17710",
"CN=COD03,OU=Computadores,OU=Administrativo - Financeiro,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD03.techlab.br","True","COD03","computer","04f60db2-d877-45f8-bd09-a36a6d9af4e2","COD03$","S-1-5-21-925037465-2226837016-4004537459-19133",
"CN=MACHINE-TVGFS,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-TVGFS.techlab.br","True","MACHINE-TVGFS","computer","5921a4af-4e15-40e3-b860-9771c7822b97","MACHINE-TVGFS$","S-1-5-21-925037465-2226837016-4004537459-19146",
"CN=COD56,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD56.techlab.br","True","COD56","computer","820f1458-af18-4964-ad2d-cb21671e0e96","COD56$","S-1-5-21-925037465-2226837016-4004537459-19170",
"CN=COD63,OU=Computadores,OU=Comercial,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD63.techlab.br","True","COD63","computer","17c8ba01-90de-4687-8ab2-ab6e8fa77558","COD63$","S-1-5-21-925037465-2226837016-4004537459-19211",
"CN=COD54,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD54.techlab.br","True","COD54","computer","47a12d3e-19f6-44d7-bd05-c34624ac7a7c","COD54$","S-1-5-21-925037465-2226837016-4004537459-19212",
"CN=MCHINE14,OU=Computadores,OU=Consultoria Externa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","MCHINE14.techlab.br","True","MCHINE14","computer","0a633191-e94e-450c-9ad4-5bf917f5c19a","MCHINE14$","S-1-5-21-925037465-2226837016-4004537459-19220",
"CN=COD51,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD51.techlab.br","True","COD51","computer","cac7fed1-4a03-4737-bfa9-9d41ee53acd6","COD51$","S-1-5-21-925037465-2226837016-4004537459-20113",
"CN=MAC02,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","MAC02.techlab.br","True","MAC02","computer","4b81bd2d-1c86-44e2-a959-c8cc77326e8f","MAC02$","S-1-5-21-925037465-2226837016-4004537459-17864",
"CN=COD09,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD09.techlab.br","True","COD09","computer","959b363f-180d-4860-918d-13a8ca9d0ca7","COD09$","S-1-5-21-925037465-2226837016-4004537459-17874",
"CN=desenvolvimento,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","desenvolvimento.techlab.br","True","desenvolvimento","computer","2825e7d4-d0e1-418e-86fd-19fb017a9739","desenvolvimento$","S-1-5-21-925037465-2226837016-4004537459-17881",
"CN=COD69,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD69.techlab.br","True","COD69","computer","df50df31-bead-45d5-a013-f6b03d7fc5d0","COD69$","S-1-5-21-925037465-2226837016-4004537459-17909",
"CN=COD68,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD68.techlab.br","True","COD68","computer","ca32197d-843b-4cc9-be41-e6b9d563fa40","COD68$","S-1-5-21-925037465-2226837016-4004537459-17911",
"CN=COD72,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD72.techlab.br","True","COD72","computer","e33fc249-330c-4e0e-9fae-748c287a7674","COD72$","S-1-5-21-925037465-2226837016-4004537459-17958",
"CN=COD64,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD64.techlab.br","True","COD64","computer","80c449a2-83ae-46b0-a045-cfde08f58909","COD64$","S-1-5-21-925037465-2226837016-4004537459-17972",
"CN=COD47,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD47.techlab.br","True","COD47","computer","ae927744-c436-4a09-beaf-a651d1417f41","COD47$","S-1-5-21-925037465-2226837016-4004537459-17993",
"CN=COD73,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD73.techlab.br","True","COD73","computer","f50b6c11-e8ed-4762-992e-33fe58221226","COD73$","S-1-5-21-925037465-2226837016-4004537459-18003",
"CN=COD75,OU=Computadores,OU=Suporte,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD75.techlab.br","True","COD75","computer","883bfa3d-9867-4394-9940-5b5f032fd03a","COD75$","S-1-5-21-925037465-2226837016-4004537459-18005",
"CN=COD76,OU=Computadores,OU=Verde_Ghaia,OU=SP,OU=techlab_Brasil,DC=techlab,DC=br","COD76.techlab.br","True","COD76","computer","1e642efa-fe1c-4ec1-bb78-c9960a6928c4","COD76$","S-1-5-21-925037465-2226837016-4004537459-18007",
"CN=COD77,OU=Computadores,OU=Verde_Ghaia,OU=SP,OU=techlab_Brasil,DC=techlab,DC=br","COD77.techlab.br","True","COD77","computer","4919c3d7-5273-4b9c-89c7-b58fdabdd54a","COD77$","S-1-5-21-925037465-2226837016-4004537459-18008",
"CN=COD78,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD78.techlab.br","True","COD78","computer","03aab849-38fc-4802-9ed8-cc9e20c8d2e8","COD78$","S-1-5-21-925037465-2226837016-4004537459-18009",
"CN=COD82,OU=Computadores,OU=DHO,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD82.techlab.br","True","COD82","computer","b5621536-a6f9-43aa-b9ec-38ab9edf32cc","COD82$","S-1-5-21-925037465-2226837016-4004537459-18026",
"CN=MCHINE07,OU=VM,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","MCHINE07.techlab.br","True","MCHINE07","computer","1cb7ba9b-eead-4e2a-b94d-b404aa01b0e6","MCHINE07$","S-1-5-21-925037465-2226837016-4004537459-18035",
"CN=MCHINE12,OU=VM,OU=Computadores,OU=Comercial,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","MCHINE12.techlab.br","True","MCHINE12","computer","2f955111-4ad0-415e-9890-4857ed8d1a16","MCHINE12$","S-1-5-21-925037465-2226837016-4004537459-18036",
"CN=MCHINE08,OU=VM,OU=Computadores,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","MCHINE08.techlab.br","True","MCHINE08","computer","092d751c-545e-49b7-8122-b3eb2b3f1447","MCHINE08$","S-1-5-21-925037465-2226837016-4004537459-18037",
"CN=MCHINE01,OU=VM,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","MCHINE01.techlab.br","False","MCHINE01","computer","65ac8ce1-a870-4ca2-8114-698e2ce7fd24","MCHINE01$","S-1-5-21-925037465-2226837016-4004537459-22126",
"CN=AZUREADSSOACC,CN=Computers,DC=techlab,DC=br",,"True","AZUREADSSOACC","computer","a1311450-7210-4f43-9412-f646e4ac881c","AZUREADSSOACC$","S-1-5-21-925037465-2226837016-4004537459-22130",
"CN=COD62,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD62.techlab.br","True","COD62","computer","7fcf288d-d5ea-47c9-bfc4-40b3191b3545","COD62$","S-1-5-21-925037465-2226837016-4004537459-22140",
"CN=COD49,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD49.techlab.br","True","COD49","computer","f46b3d17-9ad6-415b-b238-cb6c3a8b5da5","COD49$","S-1-5-21-925037465-2226837016-4004537459-18050",
"CN=COD66,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD66.techlab.br","True","COD66","computer","cd098260-b093-470a-818f-746113a62d8f","COD66$","S-1-5-21-925037465-2226837016-4004537459-22141",
"CN=COD61,OU=Computadores,OU=Comercial,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD61.techlab.br","True","COD61","computer","787880a1-032d-4e5b-923d-17bee73c2500","COD61$","S-1-5-21-925037465-2226837016-4004537459-22143",
"CN=COD14,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD14.techlab.br","True","COD14","computer","4ffc37c6-7a0c-4baf-bd77-09e72918be4f","COD14$","S-1-5-21-925037465-2226837016-4004537459-21111",
"CN=COD85,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD85.techlab.br","True","COD85","computer","a5f50128-1e9b-4403-a1bb-426c4e04bb53","COD85$","S-1-5-21-925037465-2226837016-4004537459-18055",
"CN=MACHINE-TVGNAS,OU=Internos,OU=Servidores,DC=techlab,DC=br","MACHINE-Tvgnas.techlab.br","True","MACHINE-TVGNAS","computer","ac2caa01-3b75-4f2d-996b-3172747218ba","MACHINE-TVGNAS$","S-1-5-21-925037465-2226837016-4004537459-18061",
"CN=COD12,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD12.techlab.br","False","COD12","computer","e96d8c6d-5df9-4552-96a2-91c6d306676d","COD12$","S-1-5-21-925037465-2226837016-4004537459-22149",
"CN=mac03,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","mac03.techlab.br","True","mac03","computer","c9b9db4e-cebd-492a-927c-ea0326650ff7","mac03$","S-1-5-21-925037465-2226837016-4004537459-22152",
"CN=COD11,OU=Computadores,OU=Comercial,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD11.techlab.br","True","COD11","computer","8aef2a7f-fa9f-4b3c-9326-1ce97d30caa8","COD11$","S-1-5-21-925037465-2226837016-4004537459-22158",
"CN=COD48,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD48.techlab.br","True","COD48","computer","65fccfb9-0757-473c-840b-ce9d93a65419","COD48$","S-1-5-21-925037465-2226837016-4004537459-18082",
"CN=COD26,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD26.techlab.br","True","COD26","computer","220f6c83-d97d-45c9-bc7c-e84ea04a5c70","COD26$","S-1-5-21-925037465-2226837016-4004537459-22162",
"CN=COD06,OU=Computadores,OU=Verde_Ghaia,OU=SP,OU=techlab_Brasil,DC=techlab,DC=br","COD06.techlab.br","True","COD06","computer","56758709-7858-4078-809d-c0575ed2749a","COD06$","S-1-5-21-925037465-2226837016-4004537459-18084",
"CN=COD86,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD86.techlab.br","True","COD86","computer","e45dc5fe-3e75-4dc3-901b-aea507ec7bf9","COD86$","S-1-5-21-925037465-2226837016-4004537459-22181",
"CN=COD-116,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD-116.techlab.br","True","COD-116","computer","e7ec4665-b9ed-4f80-bca9-b4ddd9c78b76","COD-116$","S-1-5-21-925037465-2226837016-4004537459-22182",
"CN=COD84,OU=Computadores,OU=DHO,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD84.techlab.br","True","COD84","computer","2f90fb8b-cbb0-4651-9bec-ae8a6da950ba","COD84$","S-1-5-21-925037465-2226837016-4004537459-18105",
"CN=COD90,OU=Computadores,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD90.techlab.br","True","COD90","computer","a166f738-1f78-4912-b958-f87946b3809a","COD90$","S-1-5-21-925037465-2226837016-4004537459-22186",
